Dte;Barri;AEB;SC;Electors;Votants;Abstencio;Nuls;Votsvalids;Blancs;TriasxBCN;PSC-CP;BCOMU-C;ERC-AM;PP;VOX;CUP-AMUNT;VALENTS;Cs;PACMA;BCNETSTU;EV-AV;EB;NOVAPRIMARIES;PC-LV;FNC;PCTC;AIREs-LaIzquierda;PH;PFiV;UNIDOSSI;SOMI;JES-UEP;PTDCERV;Partitmesvotat
1;3;15;41;647;297;350;1;296;2;39;66;54;49;26;24;18;1;2;4;5;2;0;1;0;1;1;1;0;0;0;0;0;0;PSC-CP
1;3;15;42;1185;582;603;2;580;5;124;125;109;85;27;38;27;4;5;9;7;3;1;2;1;0;3;2;0;1;1;0;1;0;PSC-CP
1;4;16;43;816;464;352;10;454;3;87;90;158;46;15;15;13;6;5;7;3;1;0;0;3;2;0;0;0;0;0;0;0;0;BCOMU-C
1;4;16;44;766;422;344;2;420;7;90;62;138;43;26;18;12;3;3;7;7;0;0;1;1;1;1;0;0;0;0;0;0;0;BCOMU-C
1;4;16;45;890;428;462;3;425;4;55;73;150;49;19;17;18;17;5;4;1;4;0;2;1;0;3;0;0;0;1;0;0;2;BCOMU-C
1;4;16;46;770;371;399;5;366;2;78;68;122;32;13;10;17;5;2;4;2;2;3;1;1;1;1;0;0;1;0;1;0;0;BCOMU-C
1;4;17;47;845;406;439;3;403;1;59;82;141;25;35;22;13;9;6;6;2;1;1;0;0;0;0;0;0;0;0;0;0;0;BCOMU-C
1;4;17;48;969;392;577;5;387;2;62;84;119;41;24;17;18;9;5;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;BCOMU-C
1;4;17;49;689;377;312;2;375;7;80;63;105;40;22;0;17;4;8;5;3;0;1;1;0;0;0;18;0;1;0;0;0;0;BCOMU-C
1;4;18;50;734;353;381;3;350;0;74;66;115;44;21;5;13;1;2;3;0;3;0;0;1;0;0;1;1;0;0;0;0;0;BCOMU-C
1;4;18;51;785;382;403;0;382;4;64;80;128;35;11;14;21;3;5;7;2;2;3;1;0;1;0;0;1;0;0;0;0;0;BCOMU-C
1;4;18;52;1251;754;497;10;744;16;145;120;261;76;35;27;31;7;1;5;7;3;1;4;1;1;0;1;0;0;0;0;0;2;BCOMU-C
1;4;19;53;1029;471;558;6;465;4;57;119;119;33;34;33;23;8;6;5;6;2;3;2;2;1;1;0;3;0;3;0;1;0;PSC-CP
1;4;19;54;627;338;289;2;336;4;30;75;118;30;21;20;17;5;0;4;6;1;0;0;0;0;1;1;1;0;2;0;0;0;BCOMU-C
1;4;19;55;800;461;339;3;458;0;92;85;100;52;53;28;20;5;4;4;11;1;2;0;0;0;1;0;0;0;0;0;0;0;BCOMU-C
2;5;20;1;815;537;278;6;531;1;143;81;138;41;38;21;27;8;7;5;8;6;5;0;0;1;0;0;1;0;0;0;0;0;TriasxBCN
2;5;20;2;1602;807;795;10;797;4;188;142;181;99;67;24;32;18;10;6;6;10;3;2;2;1;0;0;1;1;0;0;0;0;TriasxBCN
2;5;20;3;833;528;305;7;521;4;140;91;110;72;33;17;23;5;8;5;6;2;0;1;1;0;2;0;0;0;1;0;0;0;TriasxBCN
2;5;20;4;912;566;346;9;557;1;128;92;134;61;54;22;28;11;5;3;2;4;0;3;2;2;0;2;0;1;0;0;0;2;BCOMU-C
2;5;20;5;1424;985;439;9;976;4;283;158;200;120;72;37;43;22;6;11;6;3;0;6;1;3;0;0;0;1;0;0;0;0;TriasxBCN
2;5;20;6;1044;742;302;5;737;9;188;139;168;72;67;33;22;10;9;6;5;2;3;0;0;2;1;1;0;0;0;0;0;0;TriasxBCN
2;5;20;7;849;543;306;4;539;2;154;80;103;57;67;27;12;13;7;5;7;1;0;0;0;2;0;2;0;0;0;0;0;0;TriasxBCN
2;5;20;8;1277;865;412;3;862;8;240;141;190;110;57;26;38;19;8;4;7;2;2;2;2;4;0;1;0;0;0;0;1;0;TriasxBCN
2;5;20;9;1142;757;385;5;752;4;188;131;154;91;76;33;28;16;5;4;11;3;4;2;1;0;0;0;0;1;0;0;0;0;TriasxBCN
2;5;21;10;812;530;282;3;527;4;147;98;87;52;46;30;23;11;3;4;6;4;0;2;2;5;0;0;1;0;2;0;0;0;TriasxBCN
2;5;21;11;815;531;284;1;530;3;124;80;127;66;59;23;16;8;9;5;6;1;0;0;0;1;1;0;0;1;0;0;0;0;BCOMU-C
2;5;21;12;1012;625;387;4;621;6;121;112;125;85;51;42;32;11;4;10;9;6;0;3;1;1;1;0;0;0;0;0;1;0;BCOMU-C
2;5;21;13;721;451;270;0;451;4;75;83;124;59;30;17;27;6;8;8;0;5;2;1;0;1;1;0;0;0;0;0;0;0;BCOMU-C
2;5;22;14;818;448;370;6;442;9;101;67;129;41;29;16;15;8;5;8;10;1;0;1;0;2;0;0;0;0;0;0;0;0;BCOMU-C
2;5;22;15;964;533;431;9;524;6;113;91;144;43;36;31;27;9;4;9;4;1;1;3;1;0;1;0;0;0;0;0;0;0;BCOMU-C
2;5;22;16;1271;841;430;7;834;10;195;149;182;92;66;38;36;27;14;6;11;1;4;1;0;2;0;0;0;0;0;0;0;0;TriasxBCN
2;5;22;17;1305;838;467;10;828;10;224;161;163;122;50;27;28;13;7;4;10;3;3;2;0;1;0;0;0;0;0;0;0;0;TriasxBCN
2;5;22;18;1241;827;414;5;822;6;213;122;188;91;81;45;29;19;6;3;15;1;1;0;0;1;0;0;0;0;0;1;0;0;TriasxBCN
2;5;22;19;1319;954;365;9;945;7;218;148;228;101;92;57;47;15;11;6;9;0;0;1;1;2;1;0;1;0;0;0;0;0;BCOMU-C
2;5;22;20;882;514;368;6;508;3;108;66;125;48;57;38;28;8;11;6;6;0;0;0;1;2;0;0;1;0;0;0;0;0;BCOMU-C
2;6;23;21;995;615;380;3;612;8;116;112;166;69;52;31;20;7;7;11;3;1;2;0;0;1;2;1;1;1;0;1;0;0;BCOMU-C
2;6;23;22;869;577;292;2;575;6;132;111;126;69;49;25;25;12;4;7;5;1;1;0;0;0;1;1;0;0;0;0;0;0;TriasxBCN
2;6;23;23;809;532;277;10;522;5;89;106;126;84;40;33;15;6;2;8;0;3;2;0;1;0;1;1;0;0;0;0;0;0;BCOMU-C
2;6;23;24;697;392;305;5;387;0;75;67;118;48;28;18;11;5;3;4;2;4;0;2;1;0;0;0;0;0;1;0;0;0;BCOMU-C
2;6;24;25;766;457;309;5;452;4;118;76;97;55;39;17;14;10;1;5;11;3;0;1;1;0;0;0;0;0;0;0;0;0;TriasxBCN
2;6;24;26;1384;887;497;8;879;7;254;125;174;106;92;36;23;20;11;11;9;2;3;2;1;1;1;0;0;0;0;1;0;0;TriasxBCN
2;6;24;27;1404;933;471;11;922;9;232;182;193;126;69;35;22;18;9;8;7;2;3;2;1;0;1;2;0;0;1;0;0;0;TriasxBCN
2;6;24;28;1374;873;501;8;865;3;251;135;185;111;60;36;41;8;9;7;9;2;1;1;1;3;0;0;0;0;0;0;2;0;TriasxBCN
2;6;24;29;846;554;292;8;546;0;122;108;114;75;32;32;22;10;2;11;11;3;0;0;0;2;1;1;0;0;0;0;0;0;TriasxBCN
2;6;24;30;855;520;335;9;511;4;110;95;109;69;41;30;21;10;10;2;5;0;1;2;0;1;1;0;0;0;0;0;0;0;TriasxBCN
2;6;24;31;741;488;253;4;484;4;143;86;91;56;25;18;27;8;6;3;8;0;1;2;1;3;2;0;0;0;0;0;0;0;TriasxBCN
2;6;24;32;868;515;353;3;512;5;136;98;117;63;33;17;20;7;7;2;2;1;1;0;1;0;0;0;1;1;0;0;0;0;TriasxBCN
2;6;25;33;789;455;334;6;449;4;129;77;88;59;35;17;16;5;6;6;2;1;0;2;1;0;1;0;0;0;0;0;0;0;TriasxBCN
2;6;25;34;727;440;287;2;438;5;88;86;120;42;34;10;21;10;4;7;4;5;1;0;1;0;0;0;0;0;0;0;0;0;BCOMU-C
2;6;25;35;912;551;361;7;544;3;154;79;118;70;32;29;23;14;3;6;7;1;1;3;1;0;0;0;0;0;0;0;0;0;TriasxBCN
2;6;25;36;867;588;279;3;585;5;177;88;115;72;47;17;32;12;8;2;5;0;3;2;0;0;0;0;0;0;0;0;0;0;TriasxBCN
